Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,1/3,A-xAG,Ast,Att,Att.1,Att.2,Att.3,Cmp,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Cmp.1,Cmp.2,Cmp.3,CrsPA,KP,PPA,PrgDist,PrgP,TotDist,xA,xAG,Att 3rd,Att Pen,CPA,Carries,Def 3rd,Def Pen,Dis,Live,Mid 3rd,Mis,PrgC,PrgR,Rec,Succ,Succ%,Tkld,Tkld%,Touches,Blocks,Clr,Err,Int,Lost,Pass,Tkl,Tkl%,Tkl+Int,Tkl.1,TklW,Club
Aymeric Laporte,es ESP,DF,29.0,0.1,0,1,1,100.0,7.5,7.5,0.0,0.0,10.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,0.0,0.0,0,11.0,4.0,7.0,0.0,11.0,100.0,100.0,100.0,,4.0,7.0,0.0,0.0,0.0,0.0,48.0,0.0,202.0,0.0,0.0,1.0,1.0,0.0,10.0,7.0,2.0,0.0,14.0,6.0,0.0,0.0,0.0,10.0,0.0,,0.0,,14.0,1.0,1.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,Manchester City
Bernardo Silva,pt POR,"MF,FW",28.0,28.6,6,34,15,44.1,1.19,0.52,0.18,0.4,15.9,0.0,0,0,3.7,3.7,0.11,2.3,2.3,Matches,100.0,1.4,9,1936.0,1052.0,620.0,158.0,1671.0,86.3,94.4,86.1,67.1,993.0,534.0,106.0,10.0,64.0,49.0,5246.0,177.0,25138.0,8.0,7.6,1055.0,146.0,37.0,1500.0,245.0,39.0,34.0,2194.0,905.0,43.0,140.0,260.0,1757.0,38.0,62.3,21.0,34.4,2194.0,32.0,15.0,1.0,17,32.0,28.0,51.0,43.9,68.0,25.0,23,Manchester City
Cole Palmer,eng ENG,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,0.0,0.0,0,5.0,2.0,3.0,0.0,4.0,80.0,100.0,66.7,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,6.0,0.0,,0.0,,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0,Manchester City
Erling Haaland,no NOR,FW,23.0,28.4,27,113,50,44.2,3.99,1.76,0.18,0.4,11.9,1.0,7,8,29.2,22.9,0.2,-2.2,-2.9,Matches,16.0,0.7,5,388.0,242.0,70.0,8.0,295.0,76.0,81.4,80.0,62.5,197.0,56.0,5.0,0.0,29.0,11.0,567.0,26.0,3234.0,2.2,4.3,398.0,183.0,22.0,357.0,36.0,15.0,19.0,628.0,206.0,41.0,35.0,126.0,489.0,12.0,40.0,16.0,53.3,636.0,11.0,16.0,0.0,2,1.0,10.0,6.0,66.7,8.0,2.0,3,Manchester City
Jack Grealish,eng ENG,"FW,MF",27.0,11.2,3,22,5,22.7,1.96,0.45,0.14,0.6,16.1,0.0,0,0,2.1,2.1,0.09,0.9,0.9,Matches,15.0,-1.5,1,580.0,329.0,174.0,32.0,499.0,86.0,91.8,89.7,71.9,302.0,156.0,23.0,0.0,26.0,25.0,1069.0,50.0,7032.0,2.8,2.5,443.0,82.0,50.0,522.0,53.0,7.0,22.0,697.0,206.0,19.0,87.0,146.0,578.0,18.0,43.9,11.0,26.8,697.0,13.0,5.0,0.0,6,6.0,11.0,13.0,50.0,19.0,6.0,8,Manchester City
James Mcatee,eng ENG,MF,20.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0,,0.0,0.0,0,Manchester City
Jeremy Doku,be BEL,"FW,MF",21.0,17.7,3,55,19,34.5,3.1,1.07,0.05,0.16,16.4,0.0,0,0,2.5,2.5,0.05,0.5,0.5,Matches,14.0,3.4,8,852.0,507.0,254.0,33.0,693.0,81.3,89.2,78.0,78.8,452.0,198.0,26.0,7.0,45.0,40.0,1538.0,57.0,9699.0,5.9,4.6,825.0,226.0,147.0,879.0,76.0,5.0,37.0,1161.0,275.0,52.0,218.0,295.0,937.0,87.0,51.5,64.0,37.9,1161.0,14.0,5.0,0.0,9,11.0,14.0,39.0,45.0,48.0,9.0,22,Manchester City
John Stones,eng ENG,"DF,MF",29.0,11.8,1,4,2,50.0,0.34,0.17,0.25,0.5,15.9,0.0,0,0,1.0,1.0,0.26,0.0,0.0,Matches,53.0,-0.2,0,839.0,426.0,335.0,54.0,781.0,93.1,94.4,96.1,75.9,402.0,322.0,41.0,0.0,6.0,1.0,2872.0,57.0,12375.0,0.4,0.2,189.0,10.0,1.0,596.0,239.0,54.0,6.0,907.0,484.0,5.0,16.0,24.0,742.0,1.0,16.7,4.0,66.7,907.0,11.0,21.0,0.0,10,3.0,4.0,2.0,0.0,12.0,0.0,1,Manchester City
Joško Gvardiol,hr CRO,DF,21.0,25.9,4,32,13,40.6,1.24,0.5,0.13,0.31,15.6,0.0,0,0,3.1,3.1,0.1,0.9,0.9,Matches,141.0,-0.4,1,1919.0,1010.0,695.0,107.0,1671.0,87.1,92.2,88.9,72.0,931.0,618.0,77.0,3.0,18.0,16.0,6169.0,136.0,25207.0,2.1,1.4,622.0,60.0,15.0,1285.0,452.0,67.0,14.0,2179.0,1124.0,23.0,63.0,115.0,1529.0,26.0,57.8,14.0,31.1,2179.0,36.0,37.0,3.0,27,17.0,24.0,55.0,55.3,82.0,21.0,33,Manchester City
Julián Álvarez,ar ARG,"MF,FW",23.0,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13.0,2,2,13.0,11.5,0.12,-2.0,-2.5,Matches,43.0,1.6,8,1258.0,679.0,328.0,145.0,1011.0,80.4,90.6,82.9,40.0,615.0,272.0,58.0,4.0,67.0,41.0,2992.0,103.0,13977.0,6.3,6.4,988.0,149.0,28.0,914.0,107.0,20.0,36.0,1552.0,473.0,56.0,64.0,180.0,1103.0,20.0,47.6,22.0,52.4,1554.0,30.0,14.0,1.0,2,24.0,30.0,24.0,25.0,26.0,8.0,13,Manchester City
